anio,departamento,n_adultos_18_64,peso_total_18_64,tasa_trabaja_horas_hombre,tasa_trabaja_horas_mujer,horas_prom_hombre,horas_prom_mujer,pobreza_hombre,pobreza_mujer,ingreso_neto_hogar_hombre,ingreso_neto_hogar_mujer,tasa_educ_sup_hombre,tasa_educ_sup_mujer,tasa_educ_univ_hombre,tasa_educ_univ_mujer,gap_trabaja_horas_h_m,gap_horas_h_m,gap_pobreza_m_h,gap_ingreso_hogar_h_m,gap_educ_sup_m_h,gap_educ_univ_m_h,ratio_trabajo_m_h,ratio_horas_m_h,ratio_ingreso_hogar_m_h,ratio_pobreza_m_h,ratio_educ_sup_m_h,n_mujeres_18_49,peso_mujeres_18_49,share_mujeres_18_49_con_u6,prom_ninios_u6_hogar_mujer_18_49,share_mujeres_18_49_con_2mas_u6,tasa_trabaja_mujer_no_u6,tasa_trabaja_mujer_si_u6,horas_mujer_no_u6,horas_mujer_si_u6,pobreza_mujer_no_u6,pobreza_mujer_si_u6,ingreso_hogar_mujer_no_u6,ingreso_hogar_mujer_si_u6,penalidad_maternidad_trabajo,penalidad_maternidad_horas,penalidad_maternidad_pobreza,penalidad_maternidad_ingreso,penalidad_maternidad_trabajo_educ_sup,penalidad_maternidad_trabajo_no_educ_sup,mitigacion_penalidad_trabajo_por_educ,penalidad_maternidad_ingreso_educ_sup,penalidad_maternidad_ingreso_no_educ_sup,mitigacion_penalidad_ingreso_por_educ
2008,Perú,50216,16990403.560000002,0.8384876869473928,0.6861696517365274,45.31991969395231,36.89376310850666,0.31242894748399247,0.30860908177759416,10907.163713787688,10791.6181773852,0.32073275263804,0.28920970844756194,0.17581279848243356,0.14207753052794858,0.1523180352108654,8.426156585445646,-0.0038198657063983066,115.54553640248741,-0.03152304419047808,-0.033735267954484977,0.8183419535170563,0.8140738853389877,0.9894064543785634,0.9877736498581201,0.9017155437628376,20394,6958063.23,0.4625430803968132,0.6263273997295941,0.13048033051576624,0.7100090587665658,0.6720901850730983,38.607198256285756,35.47904701794969,0.21505874213036252,0.4360574060932065,11584.83663850191,9905.056941078625,-0.03791887369346758,-3.1281512383360663,0.22099866396284396,-1679.779697423286,-0.003490781931591247,-0.056550112008831754,0.05305933007724051,730.7980535714887,-1096.8809022514197,1827.6789558229084
2009,Perú,50812,17238712.19,0.8410786249634711,0.6951209654547451,44.38258404743939,36.34592957802148,0.2754638108381978,0.2712425453688514,12293.167300349865,12069.113122411607,0.32742930723234104,0.30767812077159157,0.17750709246079147,0.15499859393753906,0.14595765950872597,8.036654469417904,-0.004221265469346425,224.05417793825836,-0.01975118646074947,-0.0225084985232524,0.8264637155473247,0.8189232411337805,0.9817740886084027,0.9846757893296338,0.9396780128581032,20457,6972323.040000001,0.46472502226460227,0.6333855322916879,0.13671435682647312,0.7261272246617507,0.6689128626353443,37.733828798983936,34.78462928742555,0.18275822498117858,0.3936913400056807,12722.311819250168,11208.824086900653,-0.057214362026406396,-2.9491995115583833,0.2109331150245021,-1513.4877323495148,-0.04054392196119194,-0.06971408663006551,0.029170164668873566,842.9451763483157,-746.199520101467,1589.1446964497827
2010,Perú,49967,17542141.09,0.8457323107749116,0.7121653788840164,43.926356455883216,35.79995426975696,0.24721596614688285,0.25109168206735083,12724.449250829093,12556.892375441017,0.3300540536085039,0.30336005141285277,0.17956274100685563,0.14892882047402137,0.1335669318908952,8.126402186126256,0.0038757159204679814,167.55687538807615,-0.0266940021956511,-0.030633920532834258,0.8420694938703324,0.814999402595845,0.9868318956612477,1.0156774498867327,0.9191223319216846,19929,7012911.98,0.4600219479726024,0.6292631523945065,0.13040592589898725,0.7342309258519926,0.6946575691702767,37.521674216079944,34.15096492987052,0.17263151940564994,0.36538314700947766,13021.114890108827,12205.887265404526,-0.03957335668171591,-3.3707092862094257,0.19275162760382772,-815.227624704301,-0.03683283188936781,-0.044983054815011414,0.008150222925643602,2978.600023321371,-589.3599203885115,3567.9599437098823
2011,Perú,56823,17715865.1,0.8474081496623399,0.7076141055612408,44.06012138921543,35.816948820458336,0.21950672347830538,0.22816625065865248,13638.806357433223,12951.48488109376,0.33512896040206613,0.31323358612429303,0.18066372981770237,0.15364498644238184,0.13979404410109908,8.243172568757096,0.008659527180347099,687.3214763394626,-0.021895374277773105,-0.027018743375320536,0.8350333966497706,0.8129108066693894,0.9496054523888104,1.0394499404989885,0.9346658246082211,22424,7008079.2,0.44377482634614057,0.5912225093004085,0.11587193107064202,0.7275282945337102,0.6879720510659721,37.30949301273958,33.987168780046744,0.16061449095500738,0.34159395216952304,13461.766676944073,12170.802578167306,-0.039556243467738006,-3.3223242326928357,0.18097946121451566,-1290.964098776767,-0.046854455044896715,-0.03913760461783222,-0.007716850427064492,-120.66439397707654,-220.4473256641486,99.78293168707205
2012,Perú,56914,18253416.588,0.8490583196343479,0.7047956259673489,43.77775023346296,36.18364554951658,0.20576077925644984,0.21135273941864785,15368.93429797672,14608.53098319997,0.34524853883166756,0.33021321188535413,0.19444487307657823,0.17113641836224525,0.14426269366699895,7.594104683946384,0.005591960162198012,760.4033147767514,-0.015035326946313432,-0.023308454714332988,0.8300909486063024,0.8265304945218135,0.9505233544477539,1.0271769973967122,0.956450715194354,22237,7131022.137,0.43042958120605257,0.5681232967963229,0.11243633249150296,0.7295359637801994,0.686161806328042,37.446736214106636,34.94448083077206,0.14982319323817764,0.31391244752832814,15257.07735749623,14200.477496999356,-0.043374157452157336,-2.502255383334578,0.1640892542901505,-1056.5998604968736,-0.03407005983752265,-0.05037184495390434,0.016301785116381695,1472.9541318933152,-375.9511698405313,1848.9053017338465
2013,Perú,68113,18561212.7,0.8422093362348028,0.6997421263778378,44.100474796069854,36.36089926034461,0.1872306438921285,0.19545185479633798,16331.073134304439,15428.42337746202,0.34228469206996665,0.3230530172010591,0.19410630988221148,0.169698564252,0.14246720985696493,7.739575535725244,0.008221210904209464,902.6497568424184,-0.019231674868907533,-0.024407745630211475,0.8308410940991445,0.8245013104390663,0.9447280806705626,1.043909537099846,0.943813803788291,26193,7166088.940000001,0.4217169735546151,0.5602288268557268,0.11143481565552546,0.7236808895770869,0.6783898205057612,37.60586443955561,34.52082971680435,0.13688801686552474,0.2985372692666788,15867.570334920125,15511.81206720728,-0.04529106907132563,-3.08503472275126,0.16164925240115405,-355.7582677128448,-0.019596005811715944,-0.06089145000226781,0.04129544419055187,2188.4379812712505,557.2248167274902,1631.2131645437603
2014,Perú,68137,18842128.61,0.8407208638349605,0.6966885997196658,43.639106251043074,35.811268583724484,0.17775913812434138,0.185424371503621,16689.97373624996,15961.917114767271,0.3287199464110325,0.32226121105411804,0.18926373100101448,0.17633951338887252,0.14403226411529468,7.82783766731859,0.007665233379279629,728.0566214826904,-0.006458735356914491,-0.012924217612141964,0.8286800407708578,0.8206233275657087,0.9563776053223271,1.043121458959358,0.9803518605200839,26196,7309902.41,0.4075573000707133,0.5292823724578287,0.1023852191208665,0.7178534315454234,0.6598527427504975,37.260059174152886,33.898380174635015,0.13569976862299657,0.2868760897814154,16487.074698264296,15635.294972438995,-0.058000688794925814,-3.3616789995178706,0.1511763211584188,-851.7797258253013,-0.027250910686352547,-0.07354391842169916,0.046293007735346614,1241.7101798373733,448.65190408128547,793.0582757560878
2015,Perú,68523,18827023.7,0.8366526507521403,0.6877642490652017,44.00353978886609,36.6464280493918,0.17235299902392368,0.175106048307578,17129.88225749225,16527.105631052036,0.321758944535579,0.32274938767694594,0.18774781800254914,0.17554720197853457,0.14888840168693862,7.357111739474291,0.0027530492836543297,602.7766264402126,0.0009904431413669257,-0.012200616024014566,0.8220427538798929,0.8328063656975203,0.9648113969857224,1.0159733181275958,1.0030782147883923,26749,7404495.61,0.4276559413072567,0.5533106163864685,0.10505879008820156,0.7094764978605407,0.6528986032341413,37.8307856764802,34.93469306248934,0.12514099284109265,0.26919610476240063,17531.712369037214,15808.814391807668,-0.056577894626399394,-2.8960926139908594,0.144055111921308,-1722.897977229546,-0.0227602228615722,-0.07968518957063286,0.056924966709060665,394.8510317106011,-247.3442518865977,642.1952835971988
2016,Perú,75892,19075523.92844116,0.8398980639899732,0.6967623775568047,43.70803238501124,35.761562608297005,0.16523805873874395,0.16752510142926966,18074.838911215003,17641.559772804543,0.3392251879659254,0.33507776870130845,0.19407185660744372,0.17652583690962417,0.14313568643316854,7.946469776714238,0.002287042690525709,433.2791384104603,-0.004147419264616925,-0.017546019697819548,0.8295796923817206,0.8181920040070412,0.9760286030465466,1.0138408954207199,0.9877738463659322,29393,7397838.46655458,0.42960448630232423,0.5509210980888374,0.10213950207318666,0.7229323381738582,0.6560942383222028,36.975659111998574,33.900831353099186,0.12582255561530983,0.2501567266054981,18721.84091550194,16590.26407892605,-0.06683809985165534,-3.0748277588993886,0.12433417099018826,-2131.5768365758886,-0.053944764933152145,-0.08042796872274405,0.026483203789591903,-283.3455912461977,-292.6154069199911,9.269815673793346
2017,Perú,72365,19247921.635954466,0.8369559197760957,0.7000062015687808,43.595548949057694,36.08593581990423,,,18021.97686897537,17214.29035015401,0.34132987186856456,0.33457895832178886,0.19818277132474327,0.17923802843304942,0.13694971820731494,7.509613129153465,,807.6865188213596,-0.006750913546775705,-0.018944742891693844,0.8363716475726081,0.8277435813933985,0.9551832451737421,,0.9802217323968198,27635,7390636.080344377,0.4212519626786668,0.5483019744605676,0.10537415286538923,0.7173413093771313,0.6597840197880996,37.093367114860726,34.35451438197464,,,17823.159421938723,17028.370316252676,-0.05755728958903161,-2.7388527328860874,,-794.7891056860462,-0.034278640565512,-0.07769105349279348,0.043412412927281485,1980.6378817315963,400.45776521543485,1580.1801165161614
