periodo,dep_cod,departamento,n_adultos_18_64,peso_total_18_64,tasa_trabaja_horas_hombre,tasa_trabaja_horas_mujer,horas_prom_hombre,horas_prom_mujer,pobreza_hombre,pobreza_mujer,ingreso_neto_hogar_hombre,ingreso_neto_hogar_mujer,tasa_educ_sup_hombre,tasa_educ_sup_mujer,tasa_educ_univ_hombre,tasa_educ_univ_mujer,gap_trabaja_horas_h_m,gap_horas_h_m,gap_pobreza_m_h,gap_ingreso_hogar_h_m,gap_educ_sup_m_h,gap_educ_univ_m_h,ratio_trabajo_m_h,ratio_horas_m_h,ratio_ingreso_hogar_m_h,ratio_pobreza_m_h,ratio_educ_sup_m_h,n_mujeres_18_49,peso_mujeres_18_49,share_mujeres_18_49_con_u6,prom_ninios_u6_hogar_mujer_18_49,share_mujeres_18_49_con_2mas_u6,tasa_trabaja_mujer_no_u6,tasa_trabaja_mujer_si_u6,horas_mujer_no_u6,horas_mujer_si_u6,pobreza_mujer_no_u6,pobreza_mujer_si_u6,ingreso_hogar_mujer_no_u6,ingreso_hogar_mujer_si_u6,penalidad_maternidad_trabajo,penalidad_maternidad_horas,penalidad_maternidad_pobreza,penalidad_maternidad_ingreso,penalidad_maternidad_trabajo_educ_sup,penalidad_maternidad_trabajo_no_educ_sup,mitigacion_penalidad_trabajo_por_educ,penalidad_maternidad_ingreso_educ_sup,penalidad_maternidad_ingreso_no_educ_sup,mitigacion_penalidad_ingreso_por_educ,lat,lon,total_autoridades_electas,n_autoridades_mujeres,n_autoridades_hombres,share_autoridades_mujeres,share_autoridades_hombres,ratio_autoridades_mujer_hombre,share_liderazgo_ejecutivo_mujeres,share_alcaldias_mujeres,share_gobernaciones_mujeres,share_regidurias_mujeres,share_consejerias_mujeres,densidad_liderazgo_femenino,brecha_liderazgo_vs_base_mujeres,indice_techo_politico_mujeres
2008-2024,01,Amazonas,40119,4164325.485974784,0.8491877005073933,0.7763960013409833,38.76451400073476,32.130280674194175,0.3416461863039434,0.32887133891964637,7869.511378625182,7874.300188441531,0.20530185140841112,0.21394870634591792,0.10739607557468618,0.1014714202732343,0.07279169916641004,6.634233326540588,-0.012774847384297017,-4.788809816348476,0.008646854937506804,-0.005924655301451878,0.914280789602915,0.8288580807071426,1.000608526957513,0.9626079614044574,1.042117764054185,15418,1623572.7298289074,0.47548805812852646,0.63582144531956,0.13043423266666881,0.7606031408001775,0.7709494639774443,33.75937344364779,30.005029822496436,0.23866363337452157,0.4823384856672361,8677.254397321663,7082.810633016804,0.010346323177266803,-3.754343621151353,0.24367485229271452,-1594.4437643048595,0.013116153807339548,-0.006606434568041664,0.01972258837538121,119.79572850699697,-617.0220932071534,736.8178217141503,-6.231,-77.869,5452,1588,3864,0.29126925898752754,0.7087307410124725,0.4109730848861284,0.0539906103286385,0.05238095238095238,0.16666666666666666,0.3351206434316354,0.3541666666666667,0.008437270726338958,-0.23727864865888904,0.18536322891167323
2008-2024,02,Áncash,46054,11570589.57851296,0.8414719527023626,0.7323319849637346,40.13735198846821,32.01173455560221,0.19774015377585463,0.20515136648296664,12406.49874084727,11503.155846891259,0.2980525848469965,0.27967367364472356,0.16495407456020092,0.16377009100763693,0.109139967738628,8.125617432866001,0.007411212707112008,903.3428939560108,-0.01837891120227292,-0.0011839835525639941,0.8702987456823389,0.7975547207199778,0.927187926841774,1.0374795536748336,0.9383366823954652,17525,4450957.68936802,0.4327235498368614,0.5525483407152167,0.10114798128793502,0.7325724852473078,0.7076719189000887,32.87697447584198,29.825302796808757,0.1584205079314987,0.2966770878287257,11858.851428449418,11916.404263647997,-0.024900566347219044,-3.051671679033227,0.138256579897227,57.55283519857949,-0.016650685322042835,-0.03463377778297827,0.017983092460935435,1679.6661587869276,823.194875976893,856.4712828100346,-9.527,-77.528,10800,3146,7654,0.2912962962962963,0.7087037037037037,0.41102691403187874,0.032219570405727926,0.03125,0.16666666666666666,0.34217687074829933,0.18699186991869918,0.005,-0.25907672589056835,0.1106075525689325
2008-2024,03,Apurímac,26993,4420039.717590985,0.8547889859066784,0.8259042023065172,34.944568768529706,33.23961097830026,0.35633895616236566,0.3536252427149322,8749.082641314637,8089.829570877778,0.2645283954269559,0.23143870675653624,0.15656165041431314,0.1409907297537839,0.028884783600161223,1.704957790229443,-0.0027137134474334856,659.2530704368592,-0.03308968867041964,-0.01557092066052923,0.9662082875699164,0.9512096485859374,0.9246488920651229,0.9923844603557828,0.8749106362777728,10106,1684832.5392596005,0.3969947915865618,0.4908141474561674,0.08438512909265893,0.7960790953254334,0.7973227185564314,33.820863491385865,31.961658930138395,0.29079625934926423,0.5002249287563507,9759.00809217618,7281.672717947322,0.0012436232309980255,-1.85920456124747,0.2094286694070865,-2477.335374228858,0.005702673562061444,-0.02380779484756157,0.029510468409623014,-1066.8153600799706,-1055.9403686028654,-10.87499147710514,-13.637,-72.879,5436,1372,4064,0.2523914643119941,0.7476085356880059,0.3375984251968504,0.03747072599531616,0.035629453681710214,0.16666666666666666,0.296229802513465,0.16326530612244897,0.005886681383370125,-0.21492073831667796,0.14846273069281243
2008-2024,04,Arequipa,49956,14164290.348411184,0.7989841244291965,0.6397157482431829,45.808281329934566,39.67023390909767,0.09030073714092665,0.09881800993779069,18898.251134215643,17836.0516006643,0.4531846014762904,0.42375455270535406,0.24952003058299038,0.2320715379614373,0.15926837618601364,6.138047420836898,0.00851727279686404,1062.199533551342,-0.029430048770936357,-0.01744849262155307,0.8006614007508637,0.8660057255449608,0.9437937655708146,1.0943211879164583,0.9350594687571792,19036,5478266.926419158,0.36075311074450583,0.4443479081030291,0.07551563003177522,0.6665570748399169,0.5836263339872864,39.76717311404742,38.90965519855741,0.0718318332810023,0.16431930302538378,18105.88812540325,17771.47364353531,-0.08293074085263052,-0.857517915490007,0.09248746974438148,-334.41448186793787,-0.056991137020060756,-0.09969043501916852,0.042699297999107766,170.22988515205725,838.7062438654593,-668.4763587134021,-16.398,-71.536,7474,2328,5146,0.3114797966283115,0.6885202033716885,0.4523902059852313,0.05989110707803993,0.05871559633027523,0.16666666666666666,0.3572815533980582,0.25806451612903225,0.008830612791008831,-0.2515886895502716,0.19227926731154227
2008-2024,05,Ayacucho,33264,6548865.373361193,0.8403774738555374,0.7733411373999838,38.1780520050451,35.319832506158924,0.3830361434927953,0.39338733127061726,8933.75044752618,8184.359072762143,0.26140087026890824,0.22784892610707816,0.1504721660405834,0.10972711265065764,0.06703633645555362,2.8582194988861787,0.010351187777821957,749.3913747640363,-0.03355194416183008,-0.04074505338992575,0.9202306837807063,0.925134485685428,0.916116822473864,1.0270240496978496,0.8716456294605502,12969,2589214.2000471205,0.4459656228005192,0.5630644286327451,0.10104793032979222,0.7646514407033251,0.7392104590761261,36.31573436672193,33.11000701529815,0.31951260141057536,0.5189671627482737,9651.937668145027,7192.299823535512,-0.02544098162719899,-3.205727351423775,0.19945456133769834,-2459.637844609515,-0.008565780121832733,-0.048167161047727336,0.0396013809258946,-3592.7816735034485,-156.701936352315,-3436.0797371511335,-13.163,-74.224,7668,2060,5608,0.2686489306207616,0.7313510693792384,0.3673323823109843,0.024793388429752067,0.02003338898163606,0.5,0.31631024577082667,0.2597402597402597,0.003912363067292645,-0.24385554219100955,0.0922891759608441
2008-2024,06,Cajamarca,42573,14693481.680612355,0.8743896252170587,0.8185528410747622,36.17424255945053,26.641781667600632,0.44282436412514803,0.44044350502287366,8069.666082134066,7432.344965695288,0.21162892220354035,0.187364604160415,0.11770209036150343,0.09044234671027156,0.055836784142296425,9.532460891849901,-0.0023808591022743686,637.3211164387776,-0.024264318043125344,-0.027259743651231877,0.9361419868992207,0.7364848517233281,0.9210226160596927,0.9946234685912596,0.8853449812507743,16547,5730627.635713365,0.4095894531147529,0.5134961259853092,0.08844481033799616,0.8070233615366641,0.8031327621572294,28.023509810476778,25.289417998848716,0.39249582812797645,0.5533198209248682,7772.318775801984,7846.385765386685,-0.0038905993794347005,-2.734091811628062,0.16082399279689175,74.06698958470133,0.0005190914005297476,-0.017234212882884403,0.01775330428341415,3600.7747102277317,273.2922474765819,3327.48246275115,-7.161,-78.512,8472,2066,6406,0.24386213408876298,0.756137865911237,0.32251014673743367,0.018764659890539485,0.014206787687450671,0.5,0.28760616093277674,0.15730337078651685,0.0028328611898017,-0.22509747419822349,0.07694782119682987
2008-2024,07,Callao,35511,10888295.563414875,0.8044586760074024,0.5990088506871103,48.34320459187825,39.97030375427259,0.1782678154317635,0.1928913489347289,22326.129773178294,20960.71553201941,0.37272168720123533,0.3709474507051955,0.18244660099459906,0.15660274765940407,0.2054498253202921,8.372900837605656,0.014623533502965386,1365.4142411588837,-0.001774236496039805,-0.025843853335194983,0.7446110888629391,0.8268029414208027,0.9388423226492557,1.0820312599195052,0.995239781968786,13723,4231774.951911548,0.39098638350596754,0.5045448788286576,0.09228237498551467,0.6561951524023018,0.5482342713744134,40.93134379260493,38.58239361668546,0.14758515642376563,0.31026787310661785,21096.281376468636,20837.40268247063,-0.10796088102788837,-2.3489501759194695,0.16268271668285222,-258.8786939980055,-0.0615266415021436,-0.12064621056781588,0.059119569065672284,701.6584804298764,917.7727829973956,-216.1143025675192,-12.05,-77.118,7782,1968,5814,0.2528912875867386,0.7471087124132614,0.3384932920536636,0.03496503496503497,0.030035335689045935,0.5,0.2907268170426065,0.2755102040816326,0.005140066820868671,-0.21792625262170365,0.13826112911478766
2008-2024,08,Cusco,38437,13265391.518813033,0.8447900441146514,0.7989221358971447,39.52216844163654,35.234334502293514,0.20591344739908093,0.20548782853624417,10997.466751162348,10494.392653985507,0.312696615621404,0.29198070600065984,0.17584495385905183,0.15360524623298885,0.04586790821750675,4.287833939343024,-0.000425618862836763,503.07409717684095,-0.020715909620744155,-0.022239707626062977,0.945704961206572,0.8915081305400794,0.9542554564101164,0.9979330205568757,0.9337507712401152,14409,5061353.252579261,0.3862767591564509,0.47929916507795217,0.08245568103450546,0.7717562121792287,0.7840782067441044,35.664477157022716,33.734595037881704,0.1542380328069375,0.325398284585268,11527.733302595763,9913.170836068513,0.012321994564875705,-1.9298821191410127,0.1711602517783305,-1614.5624665272499,-0.002972237762528973,-0.00460292904170212,0.0016306912791731465,593.4407992635788,-527.0194896094035,1120.4602888729823,-13.532,-71.967,6450,1628,4822,0.2524031007751938,0.7475968992248062,0.33761924512650354,0.050980392156862744,0.0496031746031746,0.16666666666666666,0.2920754716981132,0.27450980392156865,0.00806201550387597,-0.20142270861833106,0.2019800549212314
2008-2024,09,Huancavelica,29159,4391772.456939189,0.8633247323657958,0.8564724810428603,33.19120673804963,31.577096588827477,0.40998864265784796,0.4236210331187899,6676.574780223373,6055.724657481596,0.21442647852898533,0.1653066606738375,0.11405044886792393,0.08416485537168215,0.006852251322935432,1.614110149222153,0.013632390460941946,620.8501227417764,-0.049119817855147824,-0.029885593496241772,0.9920629502827308,0.951369344237437,0.907010683894264,1.033250653902427,0.770924662886221,11186,1691712.9100094289,0.46645985022443187,0.6228978016193342,0.1351585727649906,0.8330119378482869,0.8407959302367531,32.30918780724549,29.70683964718742,0.3333439468896621,0.5799192070540333,7186.592391545858,5859.099740573687,0.0077839923884662765,-2.6023481600580745,0.2465752601643712,-1327.4926509721708,0.012648543171223325,-0.011971263188403802,0.024619806359627128,-1266.319666650561,112.24142729613732,-1378.5610939466983,-12.786,-74.973,5720,1516,4204,0.26503496503496504,0.734965034965035,0.36060894386298764,0.05200945626477541,0.05263157894736842,0.0,0.30445969125214406,0.20930232558139536,0.007692307692307693,-0.21302550877018964,0.1962362070148518
2008-2024,10,Huánuco,40009,8359888.952076881,0.8366519017600662,0.772954403231933,35.6330428877883,30.190928512741994,0.348038986015897,0.36518756731694085,8078.387116353972,7434.522560343384,0.22301132448641248,0.2080831097659841,0.14872438882275932,0.12592550210093692,0.06369749852813322,5.442114375046305,0.017148581301043853,643.8645560105879,-0.014928214720428379,-0.022798886721822398,0.9238661880835594,0.8472733751034393,0.9202978828896251,1.0492720125907407,0.9330607324322765,15351,3222832.9570483067,0.4760822350584425,0.6149566856050402,0.11998606170446065,0.7686385158535051,0.7444349198941284,31.104262052067345,28.43549845269178,0.2743189289180388,0.5045221556874703,8696.5091889618,6556.910589533387,-0.02420359595937671,-2.6687635993755663,0.2302032267694315,-2139.598599428413,-0.04872434732042019,-0.02888487186217814,-0.01983947545824205,-2088.837172958616,-445.88502254577725,-1642.9521504128388,-9.93,-76.242,3146,1082,2064,0.343928798474253,0.6560712015257469,0.5242248062015504,0.09954751131221719,0.09767441860465116,0.16666666666666666,0.3911007025761124,0.3191489361702128,0.013986013986013986,-0.24438128716203583,0.2894422094161139
2008-2024,11,Ica,47532,8118745.613795636,0.842753069030709,0.6575325042879906,48.111544166086766,39.913623885263576,0.05677797275039857,0.05953778331901834,17893.534539462522,16461.86394195045,0.4040531963510046,0.4085041233749211,0.19982394602086673,0.1867302943709751,0.18522056474271842,8.19792028082319,0.0027598105686197708,1431.6705975120713,0.004450927023916473,-0.013093651649891624,0.7802196496824989,0.8296059620842142,0.919989502668986,1.0486070642351422,1.0110156956165988,18313,3166366.2077989,0.43469623258036905,0.5546174764353858,0.1028963747043022,0.693310868570541,0.6236121980603084,40.6807971902808,38.68835125606616,0.038194496553031886,0.10068278032476263,16613.555195702887,17554.632499637006,-0.0696986705102326,-1.9924459342146363,0.06248828377173075,941.0773039341184,-0.05550832193390176,-0.07463529384341272,0.01912697190951096,1252.1045672955552,1409.150912945417,-157.0463456498619,-14.068,-75.729,8388,2540,5848,0.3028135431568908,0.6971864568431092,0.43433652530779754,0.039936102236421724,0.03870967741935484,0.16666666666666666,0.3522139160437033,0.26229508196721313,0.005960896518836433,-0.26287744092046905,0.13188347462956906
