dep_cod,departamento,lat,lon
01,Amazonas,-6.231,-77.869
02,Áncash,-9.527,-77.528
03,Apurímac,-13.637,-72.879
04,Arequipa,-16.398,-71.536
05,Ayacucho,-13.163,-74.224
06,Cajamarca,-7.161,-78.512
07,Callao,-12.05,-77.118
08,Cusco,-13.532,-71.967
09,Huancavelica,-12.786,-74.973
10,Huánuco,-9.93,-76.242
11,Ica,-14.068,-75.729
12,Junín,-12.066,-75.204
13,La Libertad,-8.115,-79.029
14,Lambayeque,-6.772,-79.84
15,Lima,-12.046,-77.043
16,Loreto,-3.749,-73.253
17,Madre de Dios,-12.593,-69.189
18,Moquegua,-17.194,-70.934
19,Pasco,-10.686,-76.262
20,Piura,-5.194,-80.632
21,Puno,-15.84,-70.028
22,San Martín,-6.49,-76.371
23,Tacna,-18.006,-70.247
24,Tumbes,-3.566,-80.451
25,Ucayali,-8.379,-74.553
