periodo,dep_cod,departamento,total_autoridades_electas,n_autoridades_mujeres,n_autoridades_hombres,share_autoridades_mujeres,share_autoridades_hombres,ratio_autoridades_mujer_hombre,share_liderazgo_ejecutivo_mujeres,share_alcaldias_mujeres,share_gobernaciones_mujeres,share_regidurias_mujeres,share_consejerias_mujeres,densidad_liderazgo_femenino,brecha_liderazgo_vs_base_mujeres,indice_techo_politico_mujeres,lat,lon
2008-2024,01,Amazonas,5452,1588,3864,0.29126925898752754,0.7087307410124725,0.4109730848861284,0.0539906103286385,0.05238095238095238,0.16666666666666666,0.3351206434316354,0.3541666666666667,0.008437270726338958,-0.23727864865888904,0.18536322891167323,-6.231,-77.869
2008-2024,02,Áncash,10800,3146,7654,0.2912962962962963,0.7087037037037037,0.41102691403187874,0.032219570405727926,0.03125,0.16666666666666666,0.34217687074829933,0.18699186991869918,0.005,-0.25907672589056835,0.1106075525689325,-9.527,-77.528
2008-2024,03,Apurímac,5436,1372,4064,0.2523914643119941,0.7476085356880059,0.3375984251968504,0.03747072599531616,0.035629453681710214,0.16666666666666666,0.296229802513465,0.16326530612244897,0.005886681383370125,-0.21492073831667796,0.14846273069281243,-13.637,-72.879
2008-2024,04,Arequipa,7474,2328,5146,0.3114797966283115,0.6885202033716885,0.4523902059852313,0.05989110707803993,0.05871559633027523,0.16666666666666666,0.3572815533980582,0.25806451612903225,0.008830612791008831,-0.2515886895502716,0.19227926731154227,-16.398,-71.536
2008-2024,05,Ayacucho,7668,2060,5608,0.2686489306207616,0.7313510693792384,0.3673323823109843,0.024793388429752067,0.02003338898163606,0.5,0.31631024577082667,0.2597402597402597,0.003912363067292645,-0.24385554219100955,0.0922891759608441,-13.163,-74.224
2008-2024,06,Cajamarca,8472,2066,6406,0.24386213408876298,0.756137865911237,0.32251014673743367,0.018764659890539485,0.014206787687450671,0.5,0.28760616093277674,0.15730337078651685,0.0028328611898017,-0.22509747419822349,0.07694782119682987,-7.161,-78.512
2008-2024,07,Callao,7782,1968,5814,0.2528912875867386,0.7471087124132614,0.3384932920536636,0.03496503496503497,0.030035335689045935,0.5,0.2907268170426065,0.2755102040816326,0.005140066820868671,-0.21792625262170365,0.13826112911478766,-12.05,-77.118
2008-2024,08,Cusco,6450,1628,4822,0.2524031007751938,0.7475968992248062,0.33761924512650354,0.050980392156862744,0.0496031746031746,0.16666666666666666,0.2920754716981132,0.27450980392156865,0.00806201550387597,-0.20142270861833106,0.2019800549212314,-13.532,-71.967
2008-2024,09,Huancavelica,5720,1516,4204,0.26503496503496504,0.734965034965035,0.36060894386298764,0.05200945626477541,0.05263157894736842,0.0,0.30445969125214406,0.20930232558139536,0.007692307692307693,-0.21302550877018964,0.1962362070148518,-12.786,-74.973
2008-2024,10,Huánuco,3146,1082,2064,0.343928798474253,0.6560712015257469,0.5242248062015504,0.09954751131221719,0.09767441860465116,0.16666666666666666,0.3911007025761124,0.3191489361702128,0.013986013986013986,-0.24438128716203583,0.2894422094161139,-9.93,-76.242
2008-2024,11,Ica,8388,2540,5848,0.3028135431568908,0.6971864568431092,0.43433652530779754,0.039936102236421724,0.03870967741935484,0.16666666666666666,0.3522139160437033,0.26229508196721313,0.005960896518836433,-0.26287744092046905,0.13188347462956906,-14.068,-75.729
2008-2024,12,Junín,6132,1722,4410,0.2808219178082192,0.7191780821917808,0.3904761904761905,0.0166270783847981,0.014457831325301205,0.16666666666666666,0.3258382642998028,0.28169014084507044,0.00228310502283105,-0.2641948394234211,0.05920862058976884,-12.066,-75.204
2008-2024,13,La Libertad,2918,888,2030,0.30431802604523644,0.6956819739547635,0.4374384236453202,0.04081632653061224,0.03684210526315789,0.16666666666666666,0.3487394957983193,0.25,0.0054832076764907475,-0.2635016995146242,0.13412391983820554,-8.115,-79.029
2008-2024,14,Lambayeque,13826,4682,9144,0.33863734992043976,0.6613626500795603,0.5120297462817148,0.08574739281575898,0.08518086347724621,0.16666666666666666,0.37924429740553717,0.07017543859649122,0.010704469839432953,-0.25288995710468076,0.2532130399552934,-6.772,-79.84
2008-2024,15,Lima,3904,1196,2708,0.30635245901639346,0.6936475409836066,0.44165435745937964,0.05860805860805861,0.056179775280898875,0.16666666666666666,0.35520504731861197,0.17142857142857143,0.00819672131147541,-0.24774440040833484,0.19130924816543543,-12.046,-77.043
2008-2024,16,Loreto,842,270,572,0.32066508313539194,0.6793349168646081,0.47202797202797203,0.03278688524590164,0.01818181818181818,0.16666666666666666,0.3901639344262295,0.2608695652173913,0.004750593824228029,-0.2878781978894903,0.10224650880388586,-3.749,-73.253
2008-2024,17,Madre de Dios,1440,416,1024,0.28888888888888886,0.7111111111111111,0.40625,0.04672897196261682,0.039603960396039604,0.16666666666666666,0.3435804701627486,0.2826086956521739,0.006944444444444444,-0.24215991692627203,0.16175413371675054,-12.593,-69.189
2008-2024,18,Moquegua,2038,552,1486,0.27085377821393525,0.7291462217860648,0.3714670255720054,0.046357615894039736,0.041379310344827586,0.16666666666666666,0.31722428748451054,0.2765957446808511,0.0068694798822374874,-0.2244961623198955,0.1711536615798061,-17.194,-70.934
2008-2024,19,Pasco,4992,1402,3590,0.280849358974359,0.7191506410256411,0.3905292479108635,0.042042042042042045,0.039755351681957186,0.16666666666666666,0.3224096385542169,0.12244897959183673,0.005608974358974359,-0.23880731693231694,0.1496960583979129,-10.686,-76.262
2008-2024,20,Piura,7460,1776,5684,0.23806970509383377,0.7619302949061663,0.3124560168895144,0.019855595667870037,0.01824817518248175,0.16666666666666666,0.2805755395683453,0.19101123595505617,0.0029490616621983914,-0.21821410942596373,0.08340244576706672,-5.194,-80.632
2008-2024,21,Puno,5306,1528,3778,0.28797587636637767,0.7120241236336223,0.40444679724722077,0.07142857142857142,0.06476683937823834,0.5,0.32702952029520294,0.2608695652173913,0.010554089709762533,-0.21654730493780625,0.24803664921465968,-15.84,-70.028
2008-2024,22,San Martín,2008,602,1406,0.299800796812749,0.700199203187251,0.42816500711237554,0.0472972972972973,0.028169014084507043,0.5,0.35875,0.11904761904761904,0.0069721115537848604,-0.2525034995154517,0.15776241357636706,-6.49,-76.371
2008-2024,23,Tacna,990,288,702,0.2909090909090909,0.7090909090909091,0.41025641025641024,0.04225352112676056,0.03076923076923077,0.16666666666666666,0.34933333333333333,0.17142857142857143,0.006060606060606061,-0.24865556978233033,0.14524647887323944,-18.006,-70.247
2008-2024,24,Tumbes,878,260,618,0.296127562642369,0.7038724373576309,0.42071197411003236,0.07317073170731707,0.05714285714285714,0.16666666666666666,0.3063063063063063,0.36585365853658536,0.00683371298405467,-0.22295683093505192,0.24709193245778613,-3.566,-80.451
2008-2024,25,Ucayali,1436,448,988,0.31197771587743733,0.6880222841225627,0.4534412955465587,0.043478260869565216,0.04597701149425287,0.0,0.3689839572192513,0.16326530612244897,0.005571030640668524,-0.2684994550078721,0.13936335403726707,-8.379,-74.553
