anio,departamento,total_autoridades_electas,n_autoridades_mujeres,n_autoridades_hombres,share_autoridades_mujeres,share_autoridades_hombres,ratio_autoridades_mujer_hombre,share_liderazgo_ejecutivo_mujeres,share_alcaldias_mujeres,share_gobernaciones_mujeres,share_regidurias_mujeres,share_consejerias_mujeres,densidad_liderazgo_femenino,brecha_liderazgo_vs_base_mujeres,indice_techo_politico_mujeres
2015,Perú,12882,3166,9716,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179
2016,Perú,13028,3205,9823,0.2460085968682837,0.7539914031317163,0.32627506871627815,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004144918636782315,-0.21717784406529383,0.11719408658887734
2017,Perú,13028,3205,9823,0.2460085968682837,0.7539914031317163,0.32627506871627815,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004144918636782315,-0.21717784406529383,0.11719408658887734
2018,Perú,13028,3205,9823,0.2460085968682837,0.7539914031317163,0.32627506871627815,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004144918636782315,-0.21717784406529383,0.11719408658887734
2019,Perú,13142,3422,9720,0.26038654694871405,0.739613453051286,0.3520576131687243,0.05080352514256091,0.0494944119212347,0.1,0.3000279355619704,0.19207317073170732,0.007457008065743418,-0.20958302180615312,0.19510810269536397
2020,Perú,13142,3420,9722,0.26023436311063763,0.7397656368893624,0.3517794692450113,0.05080352514256091,0.0494944119212347,0.1,0.3000279355619704,0.19207317073170732,0.007457008065743418,-0.2094308379680767,0.19522220100103377
2021,Perú,13278,3471,9807,0.2614098508811568,0.7385901491188432,0.3539308657081676,0.05077720207253886,0.04946808510638298,0.1,0.30007446016381234,0.19207317073170732,0.007380629612893508,-0.21063264880861796,0.19424364422908985
2022,Perú,13132,3434,9698,0.26149862930246726,0.7385013706975327,0.3540936275520726,0.05077720207253886,0.04946808510638298,0.1,0.30007446016381234,0.19207317073170732,0.007462686567164179,-0.2107214272299284,0.19417769878176477
2023,Perú,13146,5397,7749,0.41054313099041534,0.5894568690095847,0.6964769647696477,0.06508264462809918,0.05455508474576271,0.4791666666666667,0.47737008753957905,0.2807017543859649,0.009584664536741214,-0.3454604863623162,0.15852815384120655
2024,Perú,13152,5399,7753,0.4105079075425791,0.589492092457421,0.6963755965432735,0.06504904491481672,0.05452620434092112,0.4791666666666667,0.47733407800428185,0.2807017543859649,0.00958029197080292,-0.3454588626277624,0.1584599071531153
